id,loan_amount,country_name,status,time_to_raise,num_lenders_total
212763,1250.0,Azerbaijan,funded,193075.0,38
76281,500.0,El Salvador,funded,1157108.0,18
444097,1450.0,Bolivia,funded,1552939.0,51
402224,200.0,Paraguay,funded,244945.0,3
634949,700.0,El Salvador,funded,238797.0,21
1383386,100.0,Philippines,funded,1248909.0,1
351,250.0,Philippines,funded,773599.0,10
35651,225.0,Nicaragua,funded,116181.0,8
784253,1200.0,Guatemala,funded,2288095.0,42
1328839,150.0,Philippines,funded,51668.0,1
1094905,600.0,Paraguay,funded,26717.0,18
336986,300.0,Philippines,funded,48030.0,6
163170,700.0,Bolivia,funded,24078.0,28
1323915,125.0,Philippines,funded,71117.0,5
528261,650.0,Philippines,funded,580401.0,16
495978,175.0,Madagascar,funded,800427.0,7
1251510,1800.0,Georgia,funded,1156218.0,54
642684,1525.0,Uganda,funded,1166045.0,1
974324,575.0,Kenya,funded,2924705.0,18
7487,700.0,Tajikistan,funded,470622.0,22
957,1450.0,Jordan,funded,3046687.0,36
647494,400.0,Kenya,funded,260044.0,12
706941,200.0,Philippines,funded,445938.0,8
889708,1000.0,Ecuador,funded,201408.0,24
882568,350.0,Kenya,funded,2370450.0,8
