Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,13.114285,13.190000,12.871428,91.320000,13.045714,198769900
2006-12-04,13.125714,13.150000,12.928572,91.120003,13.017143,177384200
2006-12-05,13.092857,13.190000,12.981428,91.269997,13.038571,165709600
2006-12-06,12.948571,13.055715,12.810000,89.830002,12.832857,159546100
2006-12-07,12.861428,12.928572,12.414286,87.040001,12.434286,251206900
2006-12-08,12.461429,12.770000,12.428572,88.259995,12.608571,196069300
2006-12-11,12.700000,12.757143,12.578571,88.750000,12.678572,124945100
2006-12-12,12.658571,12.691428,12.218572,86.139999,12.305715,256655000
2006-12-13,12.564285,12.724286,12.450000,89.050003,12.721429,214263000
2006-12-14,12.721429,12.857142,12.608571,88.549995,12.650000,208082700
2006-12-15,12.717143,12.745714,12.475715,87.720001,12.531428,184984800
2006-12-18,12.518572,12.571428,12.084286,85.470001,12.210000,180394200
2006-12-19,12.104285,12.382857,11.945714,86.309998,12.330000,227851400
2006-12-20,12.352858,12.381429,12.105714,84.759995,12.108571,141922900
2006-12-21,12.100000,12.211429,11.742857,82.900002,11.842857,225899800
2006-12-22,11.922857,12.005714,11.657143,82.199997,11.742857,153325900
2006-12-26,11.735714,11.795714,11.555715,81.510002,11.644286,122672200
2006-12-27,11.164286,11.714286,10.967143,81.520004,11.645715,483938700
2006-12-28,11.460000,11.607142,11.378572,80.870003,11.552857,279969200
2006-12-29,11.992857,12.200000,11.908571,84.839996,12.120000,269107300
2007-01-03,12.327143,12.368571,11.700000,83.800003,11.971429,309579900
2007-01-04,12.007143,12.278571,11.974286,85.659996,12.237143,211815100
2007-01-05,12.252857,12.314285,12.057143,85.049995,12.150000,208685400
2007-01-08,12.280000,12.361428,12.182858,85.470001,12.210000,199276700
2007-01-09,12.350000,13.282857,12.164286,92.570000,13.224286,837324600
2007-01-10,13.535714,13.971429,13.350000,97.000000,13.857142,738220000
2007-01-11,13.705714,13.825714,13.585714,95.800003,13.685715,360063200
2007-01-12,13.512857,13.580000,13.318571,94.620003,13.517143,328172600
2007-01-16,13.668571,13.892858,13.635715,97.099998,13.871428,311019100
2007-01-17,13.937143,13.942857,13.545714,94.949997,13.564285,411565000
2007-01-18,13.157143,13.158571,12.721429,89.070000,12.724286,591151400
2007-01-19,12.661428,12.807143,12.588572,88.500000,12.642858,341118400
2007-01-22,12.734285,12.737143,12.235714,86.789993,12.398571,363506500
2007-01-23,12.247143,12.501429,12.215714,85.699997,12.242857,301856100
2007-01-24,12.382857,12.450000,12.297143,86.700005,12.385715,231953400
2007-01-25,12.444285,12.642858,12.290000,86.250000,12.321428,226493400
2007-01-26,12.444285,12.481428,12.141429,85.379997,12.197143,246718500
2007-01-29,12.328571,12.378572,12.218572,85.939995,12.277143,225416100
2007-01-30,12.347143,12.355714,12.178572,85.550003,12.221429,144492600
2007-01-31,12.122857,12.285714,12.050000,85.729996,12.247143,214017300
2007-02-01,12.318571,12.324286,12.105714,84.739998,12.105714,166085500
2007-02-02,12.017143,12.178572,11.957143,84.750000,12.107142,155382500
2007-02-05,12.042857,12.175714,11.991428,83.940002,11.991428,144713100
2007-02-06,12.064285,12.067142,11.837143,84.149994,12.021428,216098400
2007-02-07,12.068571,12.340000,11.935715,86.150002,12.307143,266706300
2007-02-08,12.204286,12.358571,12.201428,86.180000,12.311429,169757700
2007-02-09,12.268572,12.314285,11.887143,83.270004,11.895715,215135200
2007-02-12,12.061429,12.168571,11.947143,84.879997,12.125714,181017900
2007-02-13,12.165714,12.184286,12.042857,84.700005,12.100000,145246500
